,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__ccp_alpha,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03430047035217285,0.002521833457928254,0.02489933967590332,0.0026346387864607324,0,1,1,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
1,0.03629975318908692,0.0018046900936649836,0.026999759674072265,0.004504839292296123,0,1,1,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
2,0.04239954948425293,0.00233319315160524,0.02599987983703613,0.004012605758856452,0,1,1,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
3,0.04239969253540039,0.0024168249481645054,0.024698448181152344,0.0015688571323094454,0,1,1,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
4,0.0401003360748291,0.00459832414660554,0.027399778366088867,0.00472690184612051,0,1,1,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
5,0.03660106658935547,0.003153141268220833,0.025499439239501952,0.0021681323034983212,0,1,1,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
6,0.03669948577880859,0.0017774162823271744,0.027900505065917968,0.004964483121230955,0,1,1,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
7,0.040301942825317384,0.0032498553586658356,0.0234982967376709,0.0022567924058508157,0,1,10,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
8,0.04180078506469727,0.0029597570315890967,0.02249932289123535,0.0008376549512536492,0,1,10,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
9,0.04790101051330566,0.021899132340281274,0.022599124908447267,0.00351262551237923,0,1,10,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
10,0.03679943084716797,0.007215051256706636,0.02462320327758789,0.004756393304158817,0,1,10,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
11,0.0409848690032959,0.003176443479991103,0.024300575256347656,0.0030910967327754894,0,1,10,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
12,0.03622312545776367,0.0016821032951978756,0.026399993896484376,0.0015613720610127596,0,1,10,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
13,0.03964672088623047,0.003930518317070399,0.025522565841674803,0.003843618309974755,0,1,10,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
14,0.04127497673034668,0.002090824560549828,0.028148651123046875,0.004671747143190525,0,1,20,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
15,0.03749914169311523,0.0011406579067783015,0.0270998477935791,0.004597790037737548,0,1,20,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
16,0.03770017623901367,0.0011234482903482892,0.0372006893157959,0.024945328031539385,0,1,20,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
17,0.040600013732910153,0.003733849581399165,0.02720036506652832,0.002874994628703387,0,1,20,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
18,0.039999532699584964,0.0010493478480160664,0.02530040740966797,0.0031729097209583315,0,1,20,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
19,0.0382993221282959,0.0015695054172854912,0.025000333786010742,0.0033466116039878886,0,1,20,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
20,0.03869862556457519,0.0009802364946955066,0.026400375366210937,0.003624280179672322,0,1,20,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 20, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
21,0.040399694442749025,0.0030567780664657877,0.025399255752563476,0.0037072769994054336,0,1,30,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
22,0.0429995059967041,0.004135791426396342,0.024201059341430665,0.0016904586957337147,0,1,30,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
23,0.03619999885559082,0.0015029828363661891,0.024299430847167968,0.0017205899560864028,0,1,30,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
24,0.045549535751342775,0.004190644858808912,0.022600936889648437,0.0013565471450476408,0,1,30,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
25,0.039101171493530276,0.0026346786393984458,0.023448991775512695,0.0011652820813445653,0,1,30,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
26,0.04000873565673828,0.004029807821156672,0.024590301513671874,0.00122907840069004,0,1,30,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
27,0.03720989227294922,0.0018682666892517023,0.023040294647216797,0.0015707410527747866,0,1,30,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
28,0.0431488037109375,0.00396573689113825,0.02500004768371582,0.002237612063150208,0,1,40,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
29,0.04514946937561035,0.0035330708301562347,0.024500322341918946,0.0017887784222756138,0,1,40,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
30,0.037998199462890625,0.0018236277068388255,0.02430119514465332,0.002908297645233464,0,1,40,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
31,0.04579901695251465,0.003828383695041643,0.0265500545501709,0.004914223446467656,0,1,40,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
32,0.040049505233764646,0.006461383353070917,0.024998283386230467,0.004796811331152137,0,1,40,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
33,0.03787841796875,0.0027244093792221586,0.024170780181884767,0.0029583385478240557,0,1,40,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
34,0.03899955749511719,0.0028453158715517853,0.023200082778930663,0.0021589247358254717,0,1,40,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 40, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
35,0.03800020217895508,0.002212906326636836,0.023699426651000978,0.0012486497430571777,0,1,50,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
36,0.040699005126953125,0.002992834970981214,0.024399185180664064,0.0029893920689754187,0,1,50,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
37,0.04039897918701172,0.003851906462242485,0.02390131950378418,0.002614309821407606,0,1,50,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
38,0.043098735809326175,0.008267881058307166,0.02249917984008789,0.0012659881935802306,0,1,50,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
39,0.037099456787109374,0.0009689005171371818,0.023800182342529296,0.004056975037582292,0,1,50,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
40,0.03799915313720703,0.0014828115489605603,0.02250185012817383,0.001761041979409577,0,1,50,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
41,0.0384009838104248,0.002939497551597647,0.02219977378845215,0.0011229553809777456,0,1,50,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 50, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
42,0.03969979286193848,0.00645421565883218,0.023800754547119142,0.00220488730906917,0,1,60,2,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
43,0.05290064811706543,0.019691519250707886,0.023799896240234375,0.0018870465419078251,0,1,60,10,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 10}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
44,0.039901018142700195,0.003865125002220796,0.02500004768371582,0.0030839643227069005,0,1,60,20,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 20}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
45,0.037201309204101564,0.0017208453487967208,0.02369856834411621,0.0009811515315218799,0,1,60,30,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 30}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
46,0.039999866485595705,0.0027384231402239317,0.026601219177246095,0.003307571073245279,0,1,60,40,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 40}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
47,0.03889951705932617,0.0013928203506089845,0.027200794219970702,0.0029439260452400746,0,1,60,50,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 50}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
48,0.040699100494384764,0.003855755529304813,0.025400829315185548,0.0019853307882943872,0,1,60,60,"{'model__ccp_alpha': 0, 'model__max_depth': 1, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,243
49,0.04159889221191406,0.0013925156005105902,0.026801109313964844,0.0014699867592253505,0,5,1,2,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2}",0.73,0.735,0.685,0.705,0.695,0.71,0.019493588689617918,148
50,0.043200016021728516,0.004697074274625573,0.023599767684936525,0.0023954750699313535,0,5,1,10,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10}",0.74,0.735,0.67,0.71,0.695,0.71,0.02588435821108956,148
51,0.042100381851196286,0.0009693095670786128,0.025300264358520508,0.005644689192896466,0,5,1,20,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 20}",0.735,0.73,0.68,0.71,0.705,0.712,0.019646882704388482,97
52,0.043700647354125974,0.0032330225463632336,0.02739996910095215,0.0031668704337264476,0,5,1,30,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 30}",0.75,0.73,0.68,0.715,0.705,0.716,0.023537204591879628,90
53,0.05329985618591308,0.021430663881340888,0.02503652572631836,0.0021097555574108137,0,5,1,40,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 40}",0.76,0.73,0.68,0.72,0.715,0.7209999999999999,0.02576819745345024,46
54,0.04403576850891113,0.00790165027416939,0.02883439064025879,0.011278238994941264,0,5,1,50,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 50}",0.76,0.73,0.685,0.72,0.715,0.7219999999999999,0.024207436873820397,43
55,0.04050226211547851,0.0023286803581656686,0.02842822074890137,0.01103418947009282,0,5,1,60,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60}",0.76,0.735,0.69,0.735,0.715,0.727,0.023366642891095867,15
56,0.04400019645690918,0.004744203657897951,0.028635644912719728,0.0017062371374881047,0,5,10,2,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 2}",0.73,0.72,0.685,0.725,0.7,0.712,0.016911534525287743,97
57,0.043100500106811525,0.002904750473154425,0.02733635902404785,0.002300394501818038,0,5,10,10,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 10}",0.73,0.72,0.685,0.725,0.7,0.712,0.016911534525287743,97
58,0.047635126113891604,0.007205905130283152,0.024837636947631837,0.0021454249670690997,0,5,10,20,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 20}",0.73,0.72,0.685,0.725,0.7,0.712,0.016911534525287743,97
59,0.04973659515380859,0.005790767530004776,0.024901103973388673,0.0016255886003384574,0,5,10,30,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 30}",0.75,0.72,0.685,0.73,0.69,0.7150000000000001,0.02449489742783177,95
60,0.042899799346923825,0.002708626648849235,0.026735925674438478,0.0035114376833636856,0,5,10,40,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 40}",0.76,0.72,0.685,0.725,0.715,0.721,0.023958297101421864,44
61,0.040898895263671874,0.0023967190173674216,0.027373647689819335,0.007734480948012082,0,5,10,50,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 50}",0.76,0.73,0.685,0.725,0.715,0.723,0.024207436873820397,34
62,0.04059915542602539,0.004396471235998158,0.02290210723876953,0.0021541736580197464,0,5,10,60,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 10, 'model__min_samples_split': 60}",0.76,0.73,0.69,0.735,0.715,0.7259999999999999,0.023108440016582705,25
63,0.04299917221069336,0.0036872919705111906,0.02560105323791504,0.0035552538276318606,0,5,20,2,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 2}",0.75,0.725,0.71,0.685,0.685,0.7110000000000001,0.02477902338672771,101
64,0.03920040130615234,0.002227852199536025,0.02739887237548828,0.005239381701448898,0,5,20,10,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 10}",0.75,0.725,0.71,0.685,0.685,0.7110000000000001,0.02477902338672771,101
65,0.04179987907409668,0.0014345912818333904,0.0238008975982666,0.0007482784543025452,0,5,20,20,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 20}",0.75,0.725,0.71,0.685,0.685,0.7110000000000001,0.02477902338672771,101
66,0.045499229431152345,0.005394970014758122,0.024899864196777345,0.001654771457528113,0,5,20,30,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 30}",0.75,0.725,0.71,0.685,0.685,0.7110000000000001,0.02477902338672771,101
67,0.042699766159057614,0.00529699224430107,0.025700092315673828,0.005202038974642064,0,5,20,40,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 40}",0.75,0.725,0.71,0.685,0.685,0.7110000000000001,0.02477902338672771,101
68,0.03950028419494629,0.0028986085541164823,0.02579951286315918,0.0030760050476896952,0,5,20,50,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 50}",0.75,0.735,0.71,0.685,0.685,0.713,0.026191601707417567,96
69,0.04019947052001953,0.002014348626801481,0.026401185989379884,0.0007350545496441028,0,5,20,60,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 20, 'model__min_samples_split': 60}",0.75,0.735,0.72,0.72,0.685,0.722,0.02158703314492288,37
70,0.041700315475463864,0.004822680878713324,0.02539992332458496,0.002033701295149927,0,5,30,2,"{'model__ccp_alpha': 0, 'model__max_depth': 5, 'model__min_samples_leaf': 30, 'model__min_samples_split': 2}",0.725,0.73,0.695,0.72,0.675,0.709,0.02083266665599964,150
