,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__kernel,param_model__gamma,param_model__degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07239933013916015,0.021600683876132207,0.02799997329711914,0.002073092090571542,0.1,linear,,,"{'model__C': 0.1, 'model__kernel': 'linear'}",0.725,0.755,0.77,0.735,0.745,0.746,0.015620499351813323,8
1,0.08069987297058105,0.006408336825793794,0.028500127792358398,0.0032553085221547306,1,linear,,,"{'model__C': 1, 'model__kernel': 'linear'}",0.75,0.765,0.75,0.74,0.74,0.749,0.009165151389911688,3
2,0.20305776596069336,0.018768757726000857,0.02502131462097168,0.0021802163728950547,10,linear,,,"{'model__C': 10, 'model__kernel': 'linear'}",0.745,0.77,0.745,0.75,0.74,0.75,0.010488088481701525,1
3,1.3072041988372802,0.2577358074739187,0.025496959686279297,0.0014102390471330047,100,linear,,,"{'model__C': 100, 'model__kernel': 'linear'}",0.745,0.765,0.745,0.755,0.735,0.7489999999999999,0.01019803902718558,5
4,8.206226062774657,1.4631234815238878,0.015930032730102538,0.0005374757043413083,1000,linear,,,"{'model__C': 1000, 'model__kernel': 'linear'}",0.745,0.77,0.745,0.75,0.73,0.748,0.012884098726725137,6
5,0.0685002326965332,0.013539667500413488,0.04299941062927246,0.014005695261738699,0.1,rbf,0.001,,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
6,0.06609792709350586,0.005239286342087639,0.036499977111816406,0.00044702777856978266,0.1,rbf,0.0001,,"{'model__C': 0.1, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
7,0.06864900588989258,0.003571742946601479,0.0373321533203125,0.0013833874326228091,1,rbf,0.001,,"{'model__C': 1, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
8,0.06996674537658691,0.005416460028844185,0.042600154876708984,0.003555834316844855,1,rbf,0.0001,,"{'model__C': 1, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
9,0.07409934997558594,0.004043123852208431,0.043300294876098634,0.0066842447190012515,10,rbf,0.001,,"{'model__C': 10, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.705,0.705,0.702,0.00244948974278318,13
10,0.07109899520874023,0.004839100794270608,0.0378018856048584,0.0006786346469051452,10,rbf,0.0001,,"{'model__C': 10, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
11,0.07079176902770996,0.002148865901655275,0.037494993209838866,0.002553012060105837,100,rbf,0.001,,"{'model__C': 100, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.745,0.755,0.765,0.73,0.745,0.748,0.011661903789690611,6
12,0.07119593620300294,0.004426847491579912,0.03799629211425781,0.001792317988419752,100,rbf,0.0001,,"{'model__C': 100, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.7,0.7,0.7,0.705,0.705,0.702,0.00244948974278318,13
13,0.09250040054321289,0.002775382470465191,0.03739795684814453,0.0011579292644303145,1000,rbf,0.001,,"{'model__C': 1000, 'model__gamma': 0.001, 'model__kernel': 'rbf'}",0.755,0.74,0.75,0.76,0.745,0.75,0.007071067811865481,1
14,0.0718996524810791,0.0019587128060670617,0.03890047073364258,0.0016854588514474541,1000,rbf,0.0001,,"{'model__C': 1000, 'model__gamma': 0.0001, 'model__kernel': 'rbf'}",0.74,0.75,0.765,0.72,0.74,0.743,0.014696938456699083,11
15,0.06940732002258301,0.0013980697202125162,0.029906797409057616,0.002873350895743354,0.1,sigmoid,0.001,,"{'model__C': 0.1, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
16,0.06711373329162598,0.00170639656932718,0.036506938934326175,0.016587992130409276,0.1,sigmoid,0.0001,,"{'model__C': 0.1, 'model__gamma': 0.0001, 'model__kernel': 'sigmoid'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
17,0.07041292190551758,0.0019330195454370376,0.030900001525878906,0.002558214315551447,1,sigmoid,0.001,,"{'model__C': 1, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
18,0.07499809265136718,0.004637362906130651,0.028002357482910155,0.0019240809108467362,1,sigmoid,0.0001,,"{'model__C': 1, 'model__gamma': 0.0001, 'model__kernel': 'sigmoid'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
19,0.07529807090759277,0.004261748668665129,0.032402992248535156,0.003929986257483542,10,sigmoid,0.001,,"{'model__C': 10, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
20,0.07139825820922852,0.006429069279511048,0.029802370071411132,0.0032034275727828377,10,sigmoid,0.0001,,"{'model__C': 10, 'model__gamma': 0.0001, 'model__kernel': 'sigmoid'}",0.7,0.7,0.7,0.7,0.7,0.7,0.0,15
21,0.0719985008239746,0.0025484368048476593,0.02810077667236328,0.003007117324732561,100,sigmoid,0.001,,"{'model__C': 100, 'model__gamma': 0.001, 'model__kernel': 'sigmoid'}",0.725,0.755,0.77,0.735,0.745,0.746,0.015620499351813323,8
